Title,Artist,Category,Release Date,Lyric
SPOT! (feat. JENNIE) - 지코 (ZICO),지코 (ZICO),랩/힙합,2024.04.26,Everything ok my man|Turn the music up||Uhm we’re not going home tonight  alright|네 계획에 없던 party|Up and down round and round|Hit the spot spot spot spot|엎치락뒤치락 정신을 왜 차려 왜||Hey girl where you at|데리러 갈게 send me the address|No dress code 대충 걸치면 돼|우린 꾸밈없고  나머진 억텐 yeah||농익은 분위기 it’s too sticky|마구 부대껴 어머! 정전기 찌릿|여긴 내 동생 저기는 내 homie|순둥이지만 음악 틀면 눈 돌지||Chillin’ out  we yellin’ out  one more|찐친 바이브 위아래 안 따져|부끄런 I 피식 E를 드러내|포위됐어 넌 now hands in the air||Uhm we’re not going home tonight  alright|네 계획에 없던 party|Up and down round and round|Hit the spot spot spot spot|엎치락뒤치락 정신을 왜 차려 왜||Up and down round and round|Everybody hit the spot|Up and down round and round|Everybody hit the top|Up and down round and round|Everybody make it loud (Make it loud)|Up and down round and round|Ain’t nobody hold us down||어깨 툭툭 he say “Yo JENNIE |Told you that 도망치면 배신”|Yeah  I know I know|일단 더우니까 바람 쐬러 나가||Bae 나갈 때 뒤로 딱 붙어|땀 뺐으니까 후딱 아이스크림 go|들키면 피곤해져 put your mask on|한바퀴 돌고 퀵하게 조인해||우리 프로젝트 타이틀 명은 J Z|We gon’ run this town  that’s crazy|짱박아 놨던 네 똘끼를 꺼내|해방됐어 넌 now hands in the air||Uhm we’re not going home tonight  alright|네 계획에 없던 party|Up and down round and round|Hit the spot spot spot spot|엎치락뒤치락 정신을 왜 차려 왜||Up and down round and round|Everybody hit the spot|Up and down round and round|Everybody hit the top|Up and down round and round|Everybody make it loud|Up and down round and round|Everybody Stop|Wait a minute ahhh||Come vibe with us|Ride with us|
해야 (HEYA) - IVE (아이브),IVE (아이브),댄스,2024.04.29,Let’s get it|Look at it|Pay attention||얼어붙은 맘 어디 깨볼까?|놀라버렸던 네 심장 말이야|맘에 들었어 넌 그냥 Say yes|내가 널 부르면 “얼음 땡”||(Da da da dun dun)|널 노리는 내 두 눈|숨을 죽인 그다음|한 발 낮춘 attitude|때를 기다리는 pose||어둠 속 빛난 tiger eyes|날 감춘 채로 다가가|새빨간 말로 홀려 놔|방심한 순간 claw||우린 더 높이|하늘에 닿을 것처럼 외쳐 너를 깨워|올려 봐 노려봐 넌 내 거니까 다|자꾸 널 보면 탐이 탐이 나||해야 해야 해야|한입에 널 삼킬 때야|(탐이 탐이 나)|해야 해야 해야|이미 내가 이긴 패야|(널 보면 탐이 탐이 나)||해야 해야 해야|뜨겁게 떠오르는 해야|별안간 홀린 그 순간 Bite|단 한 번에 난 널 휘리휘리 Catch ya||더 높이 Keep it up|Uh huh|Happily ever after? Nope!|(Da da da dun dun)||못 기다린대 못 돼버린 내 맘이|겁 따윈 없는 척하지 마 너 감히|멀어져 넌 가니|어차피 한 입 거리 (Hey)|옳지 착하지 더 이리이리 오렴||네 맘 나 주면 안 잡아먹지 Right now|내 발톱 아래 뭘 숨겼을지 Watch out||우린 더 높이|하늘에 닿을 것처럼 외쳐 너를 깨워|올려 봐 노려봐 넌 내 거니까 다|자꾸 널 보면 탐이 탐이 나||해야 해야 해야|한입에 널 삼킬 때야|(탐이 탐이 나)|해야 해야 해야|이미 내가 이긴 패야|(널 보면 탐이 탐이 나)||해야 해야 해야|뜨겁게 떠오르는 해야|별안간 홀린 그 순간 Bite|단 한 번에 난 널 휘리휘리 Catch ya||휘리휘리 휘리휘리|휘리휘리 휘리휘리||더 붉게 더 밝게|타올라 뜨거워도 좋으니|더 높게 더 높게|숨어도 넌 내 손바닥 안이니||깊은 어둠이 짙은 구름이|또 긴 밤 아래 널 감출 테니|Chew and swallow|Get ready for it  baby|(Listen when I say)||자꾸 널 보면 탐이 탐이 나||해야 해야 해야|한입에 널 삼킬 때야|(탐이 탐이 나)|해야 해야 해야|이미 내가 이긴 패야|(널 보면 탐이 탐이 나)||해야 해야 해야|뜨겁게 떠오르는 해야|별안간 홀린 그 순간 Bite|Da da da dun dun dun
Magnetic - 아일릿(ILLIT),아일릿(ILLIT),댄스,2024.03.25,Baby|I’m just trying to play it cool|But I just can’t hide that|I want you||Wait a minute 이게 뭐지?|내 심장이 lub-dub|자꾸만 뛰어||저 멀리서도 oh my gosh!|끌어당겨 you’re my crush!|초능력처럼||거대한 자석이 된 것만 같아 my heart|네 모든 게 내 맘에 달라붙어버려 boy||We’re magnetized 인정할게|This time I want||You You You You like it’s magnetic|U U U U U U U U super 이끌림|You You You You like it’s magnetic|U U U U U U U U super 이끌림||BAE BAE BAE BAE BAE BAE BAE BAE BAE|Dash-da-da Dash-da-da Dash-da|Like it’s magnetic|BAE BAE BAE BAE BAE BAE BAE BAE BAE|Dash-da-da Dash-da-da|Baby don’t say no||정반대 같아 our type|넌 J 난 완전 P|S와 N 극이지만|그래서 끌리지||내가 만들래 green light|여잔 배짱이지|So let’s go let’s go|Let’s go let’s go||숨기고 싶지 않아 자석 같은 my heart|내 맘의 끌림대로 너를 향해 갈게 boy||We’re magnetized 인정할게|This time I want||You You You You like it’s magnetic|U U U U U U U U super 이끌림|You You You You like it’s magnetic|U U U U U U U U super 이끌림||No push and pull|전속력으로 너에게 갈게|(In a rush in a rush)|Our chemistry|난 과몰입해 지금 순간에|(Baby you’re my crush you’re my crush)||No push and pull|네게 집중 후회는 안 할래|(Gonna dash gonna dash)|Never holding back|직진해 yeah|This time I want||You You You You like it’s magnetic|U U U U U U U U super 이끌림|You You You You like it’s magnetic|U U U U U U U U super 이끌림||BAE BAE BAE BAE BAE BAE BAE BAE BAE|Dash-da-da Dash-da-da Dash-da|Like it’s magnetic|BAE BAE BAE BAE BAE BAE BAE BAE BAE|Dash-da-da Dash-da-da|Baby don’t say no
고민중독 - QWER,QWER,록/메탈,2024.04.01,One! Two! Q! W! E! R!||어떤 인사가 괜찮을까 천 번쯤 상상해 봤어|근데 오늘도 천 번 하고 한 번 더 고민 중||막상 네 앞에 서니 꽁꽁 얼어버렸다|숨겨왔던 나의 맘 절반의 반도 주지를 못했어||아  아  아직은|준비가 안됐다구요|소용돌이쳐 어지럽다구||쏟아지는 맘을 멈출 수가 없을까?|너의 작은 인사 한마디에 요란해져서|네 맘의 비밀번호 눌러 열고 싶지만|너를 고민고민해도 좋은 걸 어쩌니||거울 앞에서 새벽까지 연습한 인사가|손을 들고 웃는 얼굴을 하고서 고개를 숙였다||아  아  아직도 준비가 안됐나 봐요|소용돌이쳐 어지럽다구||쏟아지는 맘을 멈출 수가 없을까?|너의 작은 인사 한마디에 요란해져서|네 맘의 비밀번호 눌러 열고 싶지만|너를 고민고민해도 좋은 걸||이러지도 저러지도 못하는데|속이 왈칵 뒤집히고|이쯤 왔으면 눈치 챙겨야지|날 봐달라구요!||좋아한다 너를 좋아한다 좋아해||너를 많이 많이 좋아한단 말이야|벅차오르다 못해 내 맘이 쿡쿡 아려와|두 번은 말 못 해 너 지금 잘 들어봐|매일 고민하고 연습했던 말|좋아해|
나는 아픈 건 딱 질색이니까 - (여자)아이들,(여자)아이들,댄스,2024.01.29,오늘도 아침엔 입에 빵을 물고|똑같이 하루를 시작하고|온종일 한 손엔 아이스 아메리카노|피곤해 죽겠네||지하철 속 이 장면 어제 꿈에서 봤나|아참 매일이지 지나치고|바쁜 이 삶에 그냥 흔한 날에|그 애를 보고 말야||평온했던 하늘이 무너지고|어둡던 눈앞이 붉어지며|뭔가 잊고 온 게 있는 것 같아|괜히 이상하게 막 울 것만 같고|그냥 지나치는 게 나을 것 같아|나는 생각은 딱 질색이니까||카페인으로 잡은 정신은 빠졌고|하루 종일 신경 쓰여 토할 것 같아|저녁이 돼도 배고픔까지 까먹고|그치 이상하지 근데 말야 있잖아||처음 본 순간 뭐라 할까 그립달까|나도 웃긴데 말야||평온했던 하늘이 무너지고|어둡던 눈앞이 붉어지며|뭔가 잊고 온 게 있는 것 같아|괜히 이상하게 막 울 것만 같고|그냥 지나치는 게 나을 것 같아|나는 생각은 딱 질색이니까||오랫동안 나를 아는|슬픈 표정을 하고 Oh|흔적 없는 기억 밖|혹 과거에 미래에 딴 차원에 세계에|1 2 3 4 5 6 7 8||평온했던 하늘이 무너지고|어둡던 눈앞이 붉어져도|다시 놓쳐버리는 것만 같아|괜히 이상하게 막 울 것만 같고|그냥 지나치는 게 나을 것 같아|나는 생각은 딱 질색이니까||아냐 지나치는 게 나을 것 같아|나는 아픈 건 딱 질색이니까
미안해 미워해 사랑해 - Crush,Crush,발라드/국내드라마,2024.03.24,It's the same day|이렇게 너를|다시 불러보는|잊고 있던 마음들과||이제야 내미는|나의 미련한 진심들|늦어서 미안해||I wish I could  have told you that|I was born to love you|To love you with all my heart|널 향한 심장이 멈춰지지가 않아||Still want you all the time|아직 내 마음속 한켠의 방에|그리움으로 가득 채워|너를 기다려|Need you all the time|아무 말도 전하지 못해|시간속을 헤메이는|나를 미워해||It’s the same night|흐릿한 어느 밤 안개 속에 너를|불러보곤 해 난 또||시간 저편에 빛나던|기억을 떠올려|두 손 꼭 잡았던||I wish I could have told you that|I was made to love you|To love you with all my heart|망설이다 혼자 삼켰던 말 사랑해||Still want you all the time|아직 내 마음속 한켠의 방에|그리움으로 가득 채워|너를 기다려|Need you all the time|미친 듯이 네게 달려가|두 팔 가득 너를 품고||And I want you to know you’re the only reason|that I still breathe that I still live|And to tell you|사랑했던 나의 진심이|사랑받던 모든 기억이|내 모든 이유|유일한 이유|Hmmm
첫 만남은 계획대로 되지 않아 - TWS (투어스),TWS (투어스),댄스,2024.01.22,Ay ay ay ay ay||거울 속에 내 표정 봐 봐|느낌 So good 기다려온 D-day|연습했던 손든 인사도 그대로 하면 돼|Hairstyle check하고 한 번 Turn around||발걸음은 매일 걷던 그 길로|계획은 완벽|빨리 말 걸어보고 싶어  Hey||Woo 문 앞에서 셋을 세어본다  Yeh||(셋  둘  하나)||첫 만남은 너무 어려워|계획대로 되는 게 없어서|첫 만남은 너무 어려워|내 이름은 말야||Hey |안녕  첫 마디를 건넬 때|주변 소린 Canceled|네 말소리는 Playlist||Yeh |질문은 나의 용기  알려줘 너의|“이름이 뭐야?”||너와 내 거리는 세 걸음 남았어  Yeh||(셋  둘  하나)||첫 만남은 너무 어려워|계획대로 되는 게 없어서|첫 만남은 너무 어려워|내 이름은 말야||이 순간  Feels so wonderful|조금은 뚝딱거려도|어색한 인사까지도|너와 나의 첫 만남||우리의 사이 Beautiful|내일도 내일모레도|기억해  영원히 반짝일 순간||Wait wait!||Na na na-||이렇게 만나서 반가워|내일 또 봐 안녕||
천상연 - 이창섭,이창섭,발라드,2024.02.21,아니길 바랬었어|꿈이길 기도했지|너 없는 가슴으로 살아가야 하는 건|내게는 너무 힘겨운걸||그렇게 사랑했던|너무도 소중했던|지난날이 서러워 자꾸 눈물이 흘러|내 삶은 너뿐인데||사랑해 널 잊을 순 없을 거야|미안해 너를 지키지 못한 것을|너의 행복한 모습 나 보기를 원해|부디 새롭게 시작하길 바래||하늘이 우리를 갈라 놓지만|눈물로 너를 보내려고 하지만|너를 얼마나 내가 사랑했는 줄 아니|영원히 너를 지켜보며 살 거야|행복하길 바래||그렇게 사랑했던|너무도 소중했던|지난날이 서러워 자꾸 눈물이 흘러|내 삶은 너뿐인데||사랑해 널 잊을 순 없을 거야|미안해 너를 지키지 못한 것을|너의 행복한 모습 나 보기를 원해|부디 새롭게 시작하길 바래||하늘이 우리를 갈라 놓지만|눈물로 너를 보내려고 하지만|너를 얼마나 내가 사랑했는 줄 아니|영원히 너를 지켜보며 살 거야|행복하길 바래||널 사랑해|미안해 너를 지키지 못한 것을|너의 행복한 모습 나 보기를 원해|부디 새롭게 시작하길 바래||행복하길 바래|
SHEESH - BABYMONSTER,BABYMONSTER,R&B/Soul,2024.04.01,Da la lun dun|Da la lun dun|Da la lun dun||BABY I’mma MONSTER||Mano a mano|I see you in slow mo’|You know you’re in trouble|Ooh hoo hoo hoo||발버둥 쳐봐|어차피 손바닥|위에서 못 나가|You know that||눈을 뜬 순간|피어나|All eyes on me|불을 질러라||Do or die|On my life|Yeah you ain’t seen nothing yet||Got them all going|Sheesh Sheesh|Sheesh Sheesh Sheesh yeah||B.A.B.Y.M.O.N|Sheesh Sheesh|Sheesh Sheesh Sheesh yeah|Got them all going||Yo hold on 쉿|걍 들이부어라 네 달팽이관에|이건 네 귀에 줄 축복|음악에 맞춰 걍 춤 춰||히비리 합 합 boom boom pow|분위기 타올라 너네들 눈 돌아|띵하니 적잖이 충격일 거야||Crown this queen|홈런은 쳤고 내 다음은 위|어중이떠중이 중간 아님|날 보고 닫혔던 입들 say|Sheesh Sheesh Sheesh||You know what it is|I be running this|Pull up in a ghost|Peek a peek a boo hoo|Vroom vroom|너네 심장에 박동이 pump pump pop|Pedal to the metal|Click clack click|Put’em up to the sky|High high high high||눈을 뜬 순간|피어나|All eyes on me|불을 질러라||Do or die|On my life|Yeah you ain’t seen nothing yet||Got them all going|Sheesh Sheesh|Sheesh Sheesh Sheesh yeah||B.A.B.Y.M.O.N|Sheesh Sheesh|Sheesh Sheesh Sheesh yeah|Got them all going||마음껏 웃어봐|이젠 내 차례니까||천천히 불태워 네가 잠든 사이||Time’s up|올라가 올라가 더||꼭대기 꼭대기로|하늘 위 하늘 위로||Fly away|온 세상을 뒤집어|Come on let’s ride||BABY I’mma MONSTER||B A B Y M O N|Tell a friend tell a friend tell a friend|B A B Y M O N|Tell a friend tell a friend tell a friend||Let's go|Jump jump and let it go|Watch out we on a roll|Rum pump pump pump it up then||Jump jump and let it go|Watch out we on a roll|Rum pump pump pump it up then|
소나기 - 이클립스 (ECLIPSE),이클립스 (ECLIPSE),발라드/국내드라마,2024.04.08,그치지 않기를 바랬죠|처음 그대 내게로 오던 그날에|잠시 동안 적시는|그런 비가 아니길|간절히 난 바래왔었죠|그대도 내 맘 아나요|매일 그대만 그려왔던 나를|오늘도 내 맘에 스며들죠|그대는 선물입니다|하늘이 내려준|홀로 선 세상 속에|그댈 지켜줄게요|어느 날 문득|소나기처럼|내린 그대지만|오늘도 불러 봅니다|내겐 소중한 사람|Oh|떨어지는 빗물이|어느새 날 깨우고|그대 생각에 잠겨요|이제는 내게로 와요|언제나처럼 기다리고 있죠|그대 손을 꼭 잡아줄게요|그대는 선물입니다|하늘이 내려준|홀로 선 세상 속에|그댈 지켜줄게요|어느 날 문득|소나기처럼|내린 그대지만|오늘도 불러 봅니다|내겐 소중한 사람|잊고 싶던 아픈 기억들도|빗방울과 함께 흘려보내면 돼요|때로는 지쳐도|하늘이 흐려도|내가 있다는 걸 잊지 말아요|그대는 사랑입니다|하나뿐인 사랑|다시는 그대와 같은|사랑 없을 테니|잊지 않아요|내게 주었던|작은 기억 하나도|오늘도 새겨봅니다|내겐 선물인 그댈|
